open,high,low,close,volume,number_of_trades,vol_ma,rsi,atr,rsi_lag1,vol_ma_lag1,price_roc,target
8584.43,8659.94,8573.96,8620.18,2164.893547,20724,1754.92189125,82.65167265167278,79.60214285714301,82.61256653596269,1683.97013515,2.7939822654271307,0
8650.88,8670.32,8575.78,8593.63,2801.926491,22477,1881.35435115,75.83704356051335,85.82214285714288,83.55460001791644,1795.0579375000002,0.11661746442641618,0
8669.69,8799.0,8662.85,8750.71,3010.60579,27185,1504.31035565,71.7936909970064,60.06928571428567,61.77480738884248,1421.44576675,1.7854629583318404,1
8753.05,8864.99,8735.0,8815.5,3389.166206,31124,1629.61612875,73.97370222610402,64.41428571428567,71.7936909970064,1504.31035565,2.276524257246537,1
8788.53,8973.11,8775.55,8910.0,3597.306275,30863,1421.2050134,74.79390457157112,81.35714285714259,68.04289301631096,1291.97317495,1.258514920572873,0
8909.99,8978.05,8909.99,8933.89,1522.440672,15208,1386.6800549,80.6395835608459,82.86714285714255,74.79390457157112,1421.2050134,1.421208577883215,0
8970.32,9044.05,8953.43,9025.28,2480.062275,19220,1452.69643085,81.28211445062287,85.02571428571393,81.1831095543879,1368.09780565,1.2938271604938434,0
9025.91,9279.0,9025.23,9275.0,5634.416426,44067,1700.15749085,85.56775165190014,93.42714285714257,81.28211445062287,1452.69643085,3.8181575998809114,0
9275.02,9333.0,9154.41,9267.31,5282.746469,36915,1916.7298281000003,83.22474372361847,96.89857142857116,85.56775165190014,1700.15749085,3.293419514190532,0
9247.0,9310.0,8900.0,9015.0,6647.083064,50216,2260.00402135,62.77049474723889,120.32928571428563,84.81900622049008,1966.18683095,-2.8032345013477067,0
9015.0,9112.28,8943.0,9028.95,3446.382853,32265,2380.99984175,62.40720802402676,128.22,62.77049474723889,2260.00402135,-2.5720516525291504,0
9154.98,9169.89,8983.0,9031.22,4037.571871,30073,2644.13328035,52.86916528981512,153.74214285714308,61.64803556941618,2472.71231925,-1.9680804295888477,0
9225.14,9292.0,9198.4,9249.6,2677.931359,22324,1830.2955551999999,64.57467620557196,96.49142857142839,68.15363483485018,1806.3731594,0.9781659388646391,0
9249.6,9310.0,9191.03,9250.0,2885.99386,24827,1898.8279665500002,64.205119325888,99.53214285714265,64.57467620557196,1830.2955551999999,1.183574350784311,0
9358.08,9361.98,9051.0,9158.42,4443.575892,36083,1837.45607275,53.67475450262006,105.30857142857114,69.72713231508479,1782.0411832500001,-0.990054054054057,0
9278.04,9338.36,9159.08,9238.44,3433.449547,31419,1847.1777808499999,59.95189506550939,114.12928571428554,60.395816088494286,1805.8301910999999,0.10901154915599065,0
9270.39,9339.97,9252.0,9320.42,2265.401612,21235,1925.4635958499998,61.515160215918186,117.2928571428569,60.782678662862935,1867.3621594,0.45504515962146996,0
9320.42,9444.0,9260.0,9313.96,4524.906733,37905,2112.30565455,62.569726351449944,125.8864285714283,61.515160215918186,1925.4635958499998,0.8174540290351917,0
9229.38,9232.91,9080.42,9119.69,4197.349312,29365,2262.11177995,45.902020950164044,100.63642857142843,38.63802347743994,2116.4884176,-1.122064190441907,0
9117.55,9165.19,9089.98,9157.18,2767.700907,20657,2295.8761243500003,45.5760878821426,99.62785714285708,45.902020950164044,2262.11177995,-0.8784055126846435,0
9157.03,9159.99,8975.06,9084.63,4487.191154,39098,2386.3391141,35.979166260265714,107.87928571428567,45.5760878821426,2295.8761243500003,-1.5804110498769952,0
9141.88,9240.0,9141.47,9212.68,3040.17831,21546,2415.5548967000004,44.455539383271805,107.095,39.10114861479663,2341.4034705999998,0.6060817850036759,0
9116.39,9138.49,8955.8,9086.62,3970.161524,31654,2453.80697425,34.32022339602331,96.5314285714286,35.37959976415911,2361.68614515,-0.8206893615999356,0
9003.72,9070.0,8950.0,9051.22,4130.8565,25314,2528.7524697,35.78299521312964,104.79428571428578,32.559846792211985,2399.9658277,-0.7076778272283257,0
9137.73,9149.9,9063.0,9085.27,1616.923483,15012,1362.5804050000002,58.42204755745709,63.99142857142864,65.53571428571398,1399.56556165,-0.27124099064980145,0
9085.27,9158.68,9055.83,9128.0,2276.254951,17001,1269.8503275500002,56.099482627307914,62.17642857142865,58.42204755745709,1362.5804050000002,0.04186677597328714,0
9127.52,9129.09,8988.0,9058.2,2139.88322,17679,1306.69079155,36.13626563173789,63.09071428571432,56.099482627307914,1269.8503275500002,-0.8586298041404539,0
9066.14,9115.93,9030.6,9088.0,2390.463418,20301,1360.7908455000002,43.238964671116825,65.99142857142864,36.13626563173789,1306.69079155,0.03004863917086542,0
9134.32,9160.0,8960.0,9148.45,1788.776124,14702,1280.39077745,50.63774912075036,78.94214285714277,45.457647165862895,1266.7964563,0.11808274766187399,0
9211.08,9272.12,9209.73,9245.0,2435.622865,21697,1378.08733585,58.924766770783926,83.93714285714279,54.55860133822577,1296.092552,1.2337486709306456,0
9248.12,9319.87,9242.69,9301.11,1774.41716,14673,1136.80737585,56.436593487217166,56.69285714285733,50.50336646361003,1085.7228621499999,0.7458636843673094,0
9301.08,9358.0,9284.34,9357.99,1603.211811,16374,1184.9463303500002,64.17187109667728,58.904285714285834,56.436593487217166,1136.80737585,1.166365769018718,0
9357.82,9400.66,9300.0,9377.75,2408.136881,23794,1275.95024625,66.60727614186311,62.91000000000012,64.17187109667728,1184.9463303500002,1.401470998492682,0
9375.63,9424.05,9327.27,9347.15,2159.420133,19327,1294.4824466999999,54.478474817822395,63.60357142857148,66.60727614186311,1275.95024625,0.4949946834302388,0
9344.59,9443.02,9321.56,9420.27,1765.577376,17201,1261.2878945,65.43313294569836,67.49500000000002,51.09606081548034,1294.79016895,0.4534136653248533,0
9420.28,9518.0,9388.43,9497.5,2659.222573,21982,1328.2790369499999,73.8575891414413,74.60785714285716,65.43313294569836,1261.2878945,1.6085116853800319,0
